@relation dataset-bow-valence-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute text string
@attribute valence numeric

@data
'hmm jnr still vomiting guess stop giving water crackers , hope hr thing',4.5
'life bitter sweet sour like red wine .. hahahahaha',6
'thanks everyone birthday wishes ! !',6.5
'loves making friends battle wits bruises ego . thanks everyone birthday wishes ! ! !  wished happy birthday , .. ',6.5
'yet acquire taste beer cheeky , playful',5
'yay ! finally  ! thanks much everyone wishing happy one !',7
'successfully saved energy afternoon rag ball . quite epic day .',6
'rockband karaoke buffalo wild wings ! come rock gay bar !',6.5
'sad . sitting coffee shop , planing plan .',3.5
'monday , yup !',5.5
'tired .. . hours driving lot one day  travel time , including breaks  lunch  fuel  . nice . weeks ktown , unfortunately got sick bday  least mostly better drive back . may post details later .',4.5
'lazy ive overcome gravity ! ! !',5
'haha jane mate bawbag deleted ! ! ! ! pmsl hun.xxxxxxxxxx',5
'realize much mondays suck . may week end quickly .',4
'streak ! ! ! lions win ! ! ! ! ! ! !',7.5
'kids bed , watching tv getting ready bed also',5
'watching anchorman happy',6
'broncos superbowl xliv',5
'make little hole tank drain dead ? .. cheeky , playful',5
'thinking need invent contraceptive laundry baskets since every time turn around reproduced !',5
'got new pic like ?',5
'always remember unique . like everybody else .',6.5
'starting get nervous starting new position .',4
'get work get tools !   ',5.5
'soooo excited movie colored girls',6
'thanks birthday messages , rightg definately feeling year older !',6
'soooooooooooooooooo ffffuuuuuccckkin tired cookin got damn day shit nigga get kinda brake good dough lucky love mom',4.5
'need  b class work !',4.5
'customer  want hot fudge sunday',5
'happy monthsarry us . , ',6.5
'going cleaning around house go throught girls clothes , fun today ! ! ! ! ! ! ! ! !',5
'hope dance gon na suck time',4
'kick ass dinner hubby nice evening home fire havin fun .. happy',7
'tierd jerseyshore shi sad crying hey need bring camaras neck woods reality .',3
'true friend care broke , house mess , past , family full crazies .. love ! true friend go long periods time without speaking  never question friendship ! repost blessed enough least one true friend . know',6.5
'birthday would like family  friends  give one memory dad , matter small .',5
'choose friend carefully , become introduction ! ! ! ! !',5
'raining ? ! ? supposed rain ! sad ..',3
'certain things r funny .. tell guy got man dey still try get da digits , dnt give   wan na talk sh  .. please helpme understand ladies  licker go lick cornball ',4
'ever thought god would bless wonderful man beautiful daughter gorgous mother wonderful family friends . !',8
'pics updated',5
'small person carries big grudge',4.5
'behind lies see secrets show',4
'body hurts .. mas beer !',3.5
'swear come back life till end time , swear keep right side cause baby one want , swear ! !',7
'wants thank everyone happy birthday wishes ! ! ! ! love guys happy',8
'going dance camp ! , yes ! ! ! ! ! ! graduated mean team get rid happy',7.5
'goin fishin tomorrow .',5.5
'gets first degree month ! ! ! getting associates get bachelor like things lol ! ! !',6
'ca wait get hell apt',4
'ormond beach , fl waiting get unloaded .',5.5
'says happy birthday ! ! !  .. deep depression sets try come terms mother teenager ..   ',5
'bored ..',4
'dream design guitar amp guitar right',5
'issues photos .. finally posted ! post later !',6
'lovely day , lovely woman , breakfast , ..',6.5
'wait , wait , camera ? ? ? think .. check news ,  degree weather ai goin nowhere ! ! ! phi beta sigma fraternity inc. presents  sleep homelessdoing part demonstration donation ! ! ! shout way ent . hosted successful annual cover city drive ! ! ! remember always thankful ! ! ! let go ! ! ! blue phi day !',6.5
'chair , problem thats always say ! light houses rule ! .. lol',5.5
'selling  mustang gt nitto  legends !',5
'take one step awaythen find coming back youmy one , one onlyi take one step awaythen find coming back youmy one , one onlyyou ..',6.5
'never realised someone could self centred ! could live self lie get sleep night . yes hurt people least learn admit wrong e cheeky , playful ect imeadiatly forgiven .. god damn',3
'manu arsenal ..',5
'boreddddddddddd ..',4
'sent big toe half way shin bone thanks toe ala crunch via door jamb .. maybe time new glasses ? foot reduction also option happy   ',5.5
'college closed till semester .. itz cold v hv releived frm gtng  mrng ..',5
'awkward moment chilling ms fucking ugly sewer rat pops wo leave skeptical , annoyed , undecided , uneasy hesitant',4
'telling someone full bullshit today never felt good . even nice say , truth felt great unleash .',6.5
'ya allah .. help us .. crying',2.5
'yo mamma stupid sat tv watched couch hahaha ! ! heard today ! ! xd offense moms hilarious',6
'aargh like apps automatically updates , getting daily tarot , barfing profile time . app removed .',4
'wants snow like huge blizzard type thing go sleding',6
'getting ready dinner family . good birthday .',7
'frequent facebook word day  mindmap.  ',5
'made ittttt  ',6.5
'wake morning , two simple choices , go back sleep dream , wake chase dreams , choice ! ',7
'thank great times happy helped change life . ill love think forever ! xox',8
'breakfast time !',6
'every like soo much breaks heart ? little little break , stop emotions , understand either .. losing .. idk wut w life .. thought knew noe ..',2
'quote week one perfect . every makes mistakes  wise people learn other.  ',6.5
'love justin bieber ! love',6.5
'.. yii ..',5
'aww need save  ear  tube job instead boob job ! lol ear hurting lil along throat .. wan na lose voice ! !',3.5
zzzzzzzzzzzzzzzzzzzzz,5
'bow , break , shut world away . fall , fade , take breath away',6
'bought trumpet .. ! though marines barracks might happy .. laughing wait come ! yay ! perhaps go buy music books ..',7
'stoked best friend comes home tomorrow ! ! ! ! !',7.5
' life got much better past months .. ask .. soo greatful ',8
'yall need shut mouths cause fixing slap shit outta  ..',3
'doppelgnger week ! change profile picture someone famous told look like .',5
'goes home monday . mountains fun .',6
'single looking , jeez , dude get attraction',4
tireeeeeeedddddd,4
'getting teeth pulled bad . waiting feel mouth .',5
'anyone feeling like killing .. ? ?',4.5
'bad night . get home  .. sometimes wish ..',3
'pooped ! ! ! ! tomorrow another full day ..',4
'hate phone serious passion wish would blow sometimes .',3
'fuck fuck fuck',2.5
'middle pickwick kayak reading book . thanksgiving rulez',6.5
' super terimakasih untuk semuanya atas doanya  ucapannya . zoom zoom day everyone ! laughing laughing',6.5
'raging homosexual hacked brandons facebook ',4
'internal monday frown , sad , angry pouting',3.5
'received lovely surprise card ! ! happy happieeeeee ! ! cheeky , playful',7
'started facebook .. entirely sure .',4.5
'tonight . rave . happy ',6.5
'met girl , fell love , glad met girl , fell love , glad think time , true ? nothing world stop worryin bout girl',5
'well , since ca sleep , might well clean house . already awake  hours , seriously , fuck .. maybe becuase birthday , woohoo ..  , tell another day , thats really thinking ..',3
'stayin onto somthn , always talkin indefinite numb e cheeky , playful erience stare space thinkng stuff wished ,  gave returns past time nothin .',2.5
hi,5
'everyone wo using cafeworld anymore send gifts please ! ! keep profile case need neighbors happy',6
'says likes feeling sexy',5.5
'addicted facebook games',5
'question hard find someone trust believe also believes trust',3
'studying cleaning packing long time still',5
'last exam tomorrow  math ',5
'king move , subordinates follow',5
'totally invites mafia ! get asap .',5
'wondering anything interresting tele tonight ? skeptical , annoyed , undecided , uneasy hesitant xxxxxx',4.5
'thanks friends buat ucapan happy birthdaynya traktirannya nyusul ya ha',6
'may better day get move new house sex crazed people buying going get little vist happy',5.5
'could really use miracle right',4
'fourth year eggs year  first year teaching year  chem hard work  feel satisfied though .',6.5
'ugh .. second shift schedule ..',4
'voice soundtrack summer know unlike ? always thunder , said eyes brightest colors wan na ever love another always thunder bring rain bring thunder',6.5
'thinks person wait high school show true colors',4.5
'today , tomorrow , friday , saturday , move day ! ! !',6.5
'love confusing .. guy tells gorgeous turns lights , ',5.5
'working hard giv new family good life',7
'ok god turn faucet',5
'think last week really changed perspective things .. never go sleep angry ever .. always say love b every departure .. tried angry brother hung phone died ni',2
'struggles past , make stronger future .. ! ! ! !',6
'sure want hear guys might come lol , go ! read',5.5
'mehh . fuck cw . fml .',2.5
'juss finished cleanin washing ridiculously messy car ! nails turned black hahaha . gon na get ready go eat buddy happy',6.5
'ready spring . cold weather dark evenings kept rusting house . ca wait canoeing , fishing , camping , outdoor sports ..',5
'transit dubai ..  hours home ! ! ! ! thanks well wishers ! surprise ',6.5
' today',5
'profile pic rocks',6
'everybody sing ! ! ! ! ! ! ! ! ! !',5
'exausted .. people , dogs , crabby cat , kid needs spare set keys .. need vacation !',4
'dear god , find someone hard poop shoot',5
' happy',6
'tear cry ever split . love',6
'fckin bored frown , sad , angry pouting frown , sad , angry pouting',4
'fb running slow today ? ? ?',4.5
'yeah , friday ! well anyway . happy',6.5
'ashamed enjoying conan barbarian comic books ? cheesy top sword sorcery yet much fun.  ',5.5
'birthday sucked ! ! !',3
'babysitting .. laughs',4.5
'last minute packing !',5
'relaxing home .. maybe wine !',6
'thank everyone birthday wishes happy',6
'whenever face difficulties , confident level increasing responsibilities growing ! !',6.5
'mean brag , make mean raspberry lemonade .',6
'bombed math final  c  write sad face emote . frown , sad , angry pouting',4
'ffxiii full love . love',6
'happy independence day ..',6
'best birthday everrrr .   could happier . braces tomorrow . week great .',7.5
'slightly annoyed people keep hitting oddshaped pillows .',4
'really hate screwing somedays darn good frown , sad , angry pouting',3
'thoughts maketh world .',5
'yay presentation day got ta morrow dat suxs bad',4
'today ignorelan cheeky , playful nothing . best day .',4
'tired writing paper paper . makes wonder masters program .',3
'new tiesto album really good !',6.5
'one dies virgin coz lyf badly fukssss frown , sad , angry pouting kiss',3
'thanks everyone wished happy birthday . wills plays mys guitars extras fast .',6
'reading howls moving castle ! ! must get family watch movie one day !',6
'know , getting worse , come barnes nobles seems like peep show everytime come . really sick stuff shelves . mixture vampires , nudity , witchcraft .. sheesh .',3.5
'thanks everyone birthday wishes ! thanks good time !',7
'american classmate learning tagalog told taxi driver , manong , pwede kant  ?  wanted say driver drop corner ',5
'wait enough see son home ..',6
'watching  days summer ..',5
'little sister sitting ball rocking back forth ..',5
'also , appreciate universe complimenting taste collaborators , one ex leaves directly starts dating someone show , think going lose . two row !',3.5
'know best friend baby anxious since morning wait longer baby port ! !',4.5
'looking bassist , drummer possibly guitarist band , anyone want ? laughing',6
'goin house hunting today .',5
'use blood lubricant rape lifeless body',2.5
'thanks everyone birthday wishes whatever call  ',6
'jonsi concert october . excited long time .',6.5
'back war two weeks frown , sad , angry pouting',3.5
'turn take ? god knows right one , pray hear clearly make right one . friends family pray boy .',4.5
'wonderful husband , fianc bf works hard provide would anything family , repost status give honest well behaved men recognition deserve . great men far , one !',8
'afraid act upon dreams know dreams keys success doorway greatness ..',7
'confided someone tears happiness lmao ! one happiest moments happy life ! tears happiness',8
'whoo finally got meet leah .. adorable !',7
'think ill hibenate winty ..',5
'straight face happy laughing',7
'england !',6.5
'one whoz going light day ! ! ! ! ! ! ! ! ! ! ! !',7
'finally , home last !',6.5
'another beautiful day thanks god snow .. cool never season',6.5
'thank guys , appreciate happy birthdays  ',6
'birthday saturday great ! finally  ! !',7
'monday na ulit work work na ulit .. may god give strength love',5
..,5
'thanks every one wished happy birthday appreciate love . feel old  hahahah jkjk whatever lol . well ill talk soon love guys much thanks',8
'among us blessed power save loved another . powerless use blessing love .',3.5
'brought real coffee nearly one every slice coffee shop today ! ! yum yum yum  yum yum !  share',6.5
'bored ..',4.5
'gargoyle landed',5
'.. thank guys .. ..',5
'still need help horse stable ! ! need  nail  horseshoes . thanks ! ! !',5.5
'facebook friends  help ! ! lack funny emails , add email list please ! !',5
'football v.s . moniteau tommorow',5
'love ! thanks making best birthday ever guys special thanks baby crystal making possible . wan na toast best friends family person could ask ! love , good night !',8
'incredibly tired excited cause get go home soon ! ! ! granted , two weeks cares !',6.5
'one wished happy birthday , thank kind coments fond wishes .',6.5
'idaho chillin fam weekend . love ya !  ninja material ! .. even duck things takes extra second squezz small places cheeky , playful',6.5
'hmmm .. happy',6.5
'happy someone , although hearts crying loud . told meself happen sooner later . stupid f    .. followed heart ! get ignoring truth . say truth set free. say also beat heck yo  ass . happy .. hurting . still .. still . ! tnx  ',3
'least  dead israeli forces attack gaza aid ahips ! ! ! ! ! ! ! hhhhhhate israil',1.5
'livin life',6
'heart get lucky sometimes love',7
'scooby doo would better show guns',5
'birthday finally  !',6.5
'hi everybody ! saying hi , real quick . bye !',6
'life one big party still young gon na back done .. shaggy',4.5
'counting days .. second second ..',5
'back semenyih ! !',5.5
'thanks everyone friendship birthday wishes !',7
' finally ! ! ! ! lol',6
'garden planting new seeds .. sad see old ones die .. beauties new growth overwelm saddness .. time depend',5.5
'dam ganna go back school',4
'watchin ferd dance lol luuuvvvvvv show',6
'thanks everybody ! ! ! ! ! ! ! ! ! ! ! !',6.5
'got family pics done today got wife new phone took droid good day today',6
'back class ..',5
'really digging devin moore   .. bein productive nite colts .. wonder real game',6
'subway w bff  person . love  .. oh  unfortuantely .',5.5
'believes god , repost believe . please ignore , tested . says bible , deny front everyone',4.5
'christmas tree time',5.5
'thanks bday wishes .. great day fabulous dinner .',7
'guess people . bed .. wo moving till monday',5
'hmmmmm ..',5
'call nestle crunch hotline , asked want continue english spanish , wait quietly  seconds smile . promise ! keep going press . listen options .. press . give away comment !',5.5
'sick dodgers  crap . get hopes every year ? garbage . manny garbage . pitching garbage . fun watch two months .',3
'happy camp . thanks birthday wishes ! ! !',7
'happy grandparents day best ama ampa ! love',7
'two days till strike work . ready .',6
'absolutely hating homework fact left everything last minute .. nice vacations though',3.5
'gettin tattoo today excited happy',7
'moving forest lake ! ! yeah',6.5
'crap , totally forgotten ta coordinate geog tmr first period ..',4
'thinkin bout everything',5
'finally got job ! ! woohoo ! happy happy',7
'asked pervert whether ugly , virgin , singaporean really fourteen years old . would like announce saw auditionsea  anywhere , actually  , would kick butt . joking .',4
'rude tube !',5.5
'tonight improv .',5
'well , hospital . poor baby two spinal taps . still know whats wrong ..',2
'asking .. keep secret never say ?',5
'something mind ..',5
'playin  battlefield bad company  .. awesome game',6
'thanks everbody wished happy birthday today !   lucky enough avoid ms. fry impromptu song cheeky , playful',6.5
'work f.b . see later .',5
'realized midnight day , ..',5
'wow friday .. hope everone good weekend .. safe .. happy',7
'gym time .. need fix mohawk .. hair sides getting little long .. find electric razor .',5
'ughh , crazy .. need starbucks .. stat !',4.5
'broncos getting raped . raiders ?',3.5
' hours work friday .. love tomarrow hahaa',4
'smile wan na go play !',6
'slowly going loony',4
'wants thank everyone wished happy bday .. ones txtd .. ones even thought today .. love ya !',7
'family wax dayy',5
'ive finally realized babies  monster  mom someone even want around become stranger beginning hate',2
'hello laughing',6
'birthdayyy ! ! love',7.5
'life better bein  pirate .',5
'bottomless pit ! ca spend rest americas money fast enough ! even knowing broke . ?',3.5
'tired .',4
'prayer alert ! ! fb friend daughter audrin king . hold family prayer today .  year old daughter diagnosed stage  cancer . see post , even know , god knows .. please post profile  hour say prayer little girl god bless !  could mom repost ?  pray , please ! ! ! !',6
'thanks remembering birthday !  ',7
'hangover ! ! ! ! ! !',4.5
'thinking plans sunday ..',5
'know  perfect  close scares .. happy',6.5
'check vid happy',6
'thanks everone wishing happy bday . well going go weekend let lose . bad day work',5
'sisters keeper .',5
'make understand mean anything .',5.5
'two may talk together roof many years , yet never really meet  two others first speech old friends',5
'time new scientist chips b head manc think',5
'already tired . quite strenuous day',4
'really great summer far ive beach week feels good sitting computer ! ! ! ! ! ! thank goooooodddddd . would phones computers ? ? ? ? would home sitting . cou',6.5
'getting ready day boys ! astro boy pizza happy',6.5
'e cheeky , playful eriencing moment read pages idea read . frown , sad , angry pouting',3.5
'raiders extend richard seymour yrsmil ! franchise zach miller ! yes ! ! ! ! ! ! ! ! ! ! resign nnamdi ! ! ! ! ! ! !',6.5
'talking zac efron banana phone last  minutes . fighting .. . tool . miss days imaginary boyfriend ping mulan .',4.5
'hey guys remember sunday basket well back croisee form   japs  ! ! !   ',5.5
'stupid computer still fixed . text  hopefully working weekend .',4
' home .. chillin .. needed come home ..',5.5
'predators .',5
'fire brimstone baby , lets go outside , whatcha know bout ways underside .. ? ? ? love',5.5
'know love , ..',7
'mexican food good . mmm , chimichanga .',6.5
'modern warfare  , soon !',6
'fun time corn maze tonight , glad spent sat . night time .',6
'getting sick e cheeky , playful laining hair , summer , fear driving . bright side , love life prodded two hours',4
'good night , hate , especially .',2
'confront dark parts , work banish illumination forgiveness . willingness wrestle demons cause angels sing . use pain fuel , reminder strength .',7
'remember vote . ',5
'lord conquer enemies attack . attack one direction , scatter seven ! deuteronomy ',6
'trying best finish book send publisher . wish luck .',5.5
'mi wrd ! ! ! ! sooooo tired jobshadowin ! da kfm studio kickass ! luv da grafitti wall',6.5
'every obsticle making possible possible even winning ilogical losers still far optional',5
'thanks everyone birthday wishes',6
', specify , alone . travel . absorbed self pity , forgot mention thrilled either . , luggage found , way going take nice long bath drown sorrows ! ooh good smelling shampoo stuff ! psyched !',6.5
'firstlove published .. ! pki abangan b surprised ksie web .. hope like !',6
'great day today . found raise took effect fridays paycheck . check pool   . great cake class made wonderful cake . think getting hang new job work . shabby ! oh josh burning wood dring beer friday night , said whoever wants stop welcome bring drinkage let know need directions !',8
'glad week ! ca wait till sunday !',6.5
'love law ! ! !',6.5
'ran bunch . fun',6
'rest peace grannie , forever loved missed .',6.5
'washing machine laughing ? taking piss underpants .',5
'enjoyed cwg opening ceremony  colourful diverse . mercifully showcasing india culture without bollywood !',6.5
'like hips',6
'presence friend coversation  ',5.5
'  teens would cry saw robert patterson  edward cullen twilight  standing top sky scraper jump . one   would sit ',3.5
'god man would lie . words must come pass lifes . well halleluya ! ! !',7
'mention much hate homework home',3.5
'hawkey team ! ! ! anyone want watch game , please contact .i join ! ! !',6.5
'mmmm cinnabon cereal ! ! !',6.5
'going house  c boy striped pajamas . coming !',5.5
'little worried big bear keep trying call able reach . currently tracking weather worried mind .',3
' cent beer happy hour gyukaku shit ,',6.5
'wish would show cheerleaders plays ..',5
'burnt rice . sipsie liked though !',5.5
'ah love steve nash !',6
'hope girl time ! ! ! !',6
'angle god , guardian dear , god love commits , ever day side , light guard , rule guide . amen .',5.5
'getting painful e cheeky , playful erience much like crossiiing monkey bars . let go point order move forward. happy  taraaaaayyy !   ',6.5
'sure like facebook',4.5
'go run beautiful day working tiny babies tonight happy',7.5
'okay , dog bugging . must bored hell playing fetch wit shitty diaper . lmao happened stick ? !',5.5
'greek food today , great',6.5
'watching husband zoom pass window small pink quad bike',5
'actually getting engineering ..',6
'hey got accepted edinboro .. awwssoommee ! ! ! ! excited',7
'excited get away weekend , , , .',6
'annoyed stupid neighbors practicing piano   oclock ! ! ! go  sleep freaks !',2.5
'band put demos songs really exited . ony thing guitar like  hours school  hours hw get go work yay !',6
'damn sad cows wo go away ! ! !',4.5
'nondairy creamer flammable .',5
'game  clock tommorow  brothers game frown , sad , angry pouting',4
'starting get obsessed heavy metal concerts .',5
'blast flirty girl fitness !',6.5
'decided new friend . think wants kill ! !',3.5
'well yay stupid  broke internet skeptical , annoyed , undecided , uneasy hesitant',4
'knows done well terrify people husband page .. sleep well tonight happy',5.5
'thankful birthday love .  pretty good . agreat bday !',7.5
'well , today pretty crappy day school . shared laughs best friend . laughing',5.5
'wondering  movies hire watch first . new daughter  thriller   kevin costner . crazy heart  drama   jeff bridges  maggie gyllenhaal . bounty hunter  action   jennifer aniston  gerard butler . cirque du freak  vamipire assistant  family   willem dafoe  salma hayek',5
'done everyones games ! ! ! ! ! ! ! !',3.5
'feel invisibe . ugh fml !',2
'usual day night',5
'great day family today !',6.5
'rain  rainbow .',5.5
'christ bike .. cold go away ? ! ? !',3.5
'addicted dragon age .',5
'july, .. gayism legalised hc .. intended  b bday present frm hc .. gosh .. took sooo long  realize dis .. cheeky , playful',5
'omg , singing along taylor swift . wrong ? ! ? !',4.5
'college night tonight  cabanas ! !   kamikazes   well ! ! plus live performances schofield ! ! let get crazy ! !',6
'e cheeky , playful erience simply name give mistakes .',5
'wishes going north carolina gorgeous sisters .',5
'tengen toppa gurren lagann .. make day better',5.5
'klbj radio austin took time busy schedule try help find donor using facebook radio . think thats bad ass . thanks much , .',7
'lonely september',4.5
'fun ..',5.5
'best consideration child . couple seperated , heshe would saddened fathermother might around much needed . bad child . times miscarriages reported , couples married . bad , god purpose life , could way telling reconsider choices .',5
'haha , sure gunna great year ! gunna funn ! ! ! !',7
'hate getting stomach flu would rather severe cold week',3.5
thank,5.5
'ooo ! ooo ! ooo ! ooo ! come !',5
'thanks everyone comments great day today , even though go work lol',7
'hates lakers . hates .',3
'full glass empty heart , search something occupy mind',4
'tupac might gone bah always alive everyone der feelins fa g ! rest case , say still remains true soldier der da ghetto heaven',5.5
'boring life back frown , sad , angry pouting ..',3
'ok big mi . one week since smoked cig . happy . plus walked  miles today . got ta walk  tonite',8
'okey dokey , time scan newspaper mine ..',5
'sometimes people put walls',4.5
'happy thanksgiving fb friends family !',6.5
'course evaluations medsoc came question instructor maintained positive environment class  nice timing video  ',5
'nevr criticize bf faults , rembr may hv litle imperfections dat stoped frm geting beter gf ..',5.5
'wan na curl ball sleep hope wake ill magically feel hundred percent',4.5
'flying back bangkok shoot ..',5
'happy haha thank youss',6.5
'merry christmas ! ! !',6
'loves favorite roomy',6.5
'broke leg , oops wo want ! ! ! ! ! ! ! ! ! !',3.5
'anyone know secret happiness peace ? sure hell .',4
'beautiful tuesday morning .. duty .. weeee laughing',7
'facebook trick  press , , , , left , right , left , right , b , , enter key , left click magic crcles appear . way get rid log refresh page .. work ! put status works .   freaked bad . surprise',5
'severe anger',2
'bed time nite world',5
'got laid need find work , new year',2.5
'thanx everyone , rite , ,',5.5
'thanks happy birthdays ! ! ! ! ! ! ! ! ! happy',7.5
'go wv !',6
'kind tutorial facebook ? , someone please send grandma ? needs little extra help .  kidding , gmachris keep helping . ',5
'ever learn something really wish , nvm',4.5
'.you think people people people look think like .',4
'sick ! ! ! ! hate ! ! ! ! !',2.5
'thanks birthday wishes yall ! ! .. srry alil late thank !',6.5
'bmx starts next week .',5
'finally friday ! ! ! ! ! ! !',6.5
'want snow birthday gift today .. wanted pony ..',3.5
'kind bees make milk ..',5
'homework sux ! ! ! ! teachers tourcher us way ? ! ? ! ? ! ? ! ? ! ? !',2.5
'god things possible .. yet greatest treasure .. turn away .. turn away gods love .. say purpose god accomplish .. turn away savior .. make like good .. peaceful .. world hated hate us christains .. speak self calls name',5
'need job ! ! ! ! anyone know anything ?',4.5
'happy birthday taylor . love .',7
'zzz .. soooooo tired ..  camps  week .. think need workout liao ..',4.5
'really need house cleaner disaster ! ! ! ! ! ! ! ! !',3.5
'falling asleep country music love good night !',6.5
selfish,4
'night see combichrist . fuck loved show . absolutely need pass , long work week  six hour concert  tired shit',6
'manu sailing smoothly happy',6.5
'hot , scared , lil sweaty . good day .',6
'saturdaywork , mani pedi , long bike ride   , bday pary  , bday party . much fun . sundaylaundry , cleaning , colts game , bike ride . fun busy weekend .',7
'stronger hard times , wiser mistakes , happier sad e cheeky , playful eriences , smarter moments confusion',7
'happy sad time .. di kaya nababaliw na ko ? ',5
'hate want nothing someone keep coming back matter ? drives crazy ! ! ever get hint .',3.5
'hi everyone nothing say say hi everyone',5
'wondering ever get job .. seriously .',4
'got soul sleep ! laughing   ',6
'tired saying look like asian lol ',5.5
'got home , fun time running today',6
'success without positive attitude called luck , success positive attitude called achievement need positive attitude .',7
'died today , would taking care arrangements would paying .. mind . due new profession , currently welcoming death jokes  okay , maybe , would rather',5
'bored many going start science project',4.5
'great time wedding ! yankees  , big game tonight nervous hell ! wan na spank damn rally monkey tonight !',6.5
'ca wait thanksgiving also see daughter thinks lights decorations christmas ! ! also  months old ! !',6.5
'sigh ..',4.5
'drunk lmao laughing happy almost paddy day cali .. like  minutes till cheeky , playful',6.5
'.. chocolate peanutbutter ice cream , yes please ! ! ..',6
'man long time since posted sum hear happy got two mo weeks welcum baby gurl dis world ready spongebob voice lol',7
'begin recognition beings cherish happiness want suffering . becomes morally wrong pragmatically unwise pursue one happiness oblivious feelings aspirations others surround us members human family . wiser course think others pursuing happiness .',5.5
'yeah happy totally . tired lonely .. tired',5.5
'cooked heat',4
'finally .  long days',5.5
'wow , . thank everyone happy bday congrates .   ',6
'love music video ! ! !',6
'work today , lucky happy',6.5
'going play football little bit !',5.5
'bama going kick ass',5
'today anniversary james proposing beach near san diego .. happy happy asked ! ! love',7.5
'make heart skip beats , make nervous see , make feel alive , still get butterflies kiss love . love happy',8
'day  menu  sausage , egg cheese biscuit , lunch  bacon cheese burger , snack  hashbrowns cheese .. day  idk ! starting get bubble guts .. stomach strange stuff .. lol',4.5
sleepy,5
'saw chinese dude get metro chinese food hand .. go make delivery lmao .. hurry dwl',5.5
'loving simple , letting someone else love hard .',4
' final ,  go !',5.5
' days indiana happy',7
'back home , back reality ..',5
'fine thin line wrong right .',5
'happy thanksgiving',6
'issuse lmao',5.5
remind,5
'smells delicious outside .. like breakfast ..',6
'md sis .. big cockatoo hand .. typing .. great day cousin .. wish never go back work .. dreams .. dreams .. oh got .. yippe !',7
'drama .. drama .. drama .. done !',4
'ughhh , wish could stop coughing already ! sick horrribllleee . watch television falll asleeepp . happy love',5.5
'ind vs srilanka  thrilling match progress .. india need  ..  wickets hand ..',5
'needs lobotomy !',4.5
'gps less day already broke . good thing garmin nice going send brand new one .',5.5
'ever feel like lot people life understand ?',4
'forgotten much fun kids  especially pe ! exhausted ! !',6
done,5
'laugh fuck upset first place even shocked wow happy happy today ordinary day',7
'sons week ! beautiful son sons love describe , copy paste status little , hold heart lifetime',6.5
'today boring day entire summer hands . skeptical , annoyed , undecided , uneasy hesitant',3.5
hi,5
homework,5
'case mondays .  toooo fin early .',4
'happy happy happy ! ! ! !',8
'time go shovel snow .',5
', hrs still ca sleep frown , sad , angry pouting insomnia sucks .',3
'wow afc sucks probowl sucks year',3.5
'fun india !',6.5
'relationships like glass . sometimes better leave broken try hurt putting back together .. happy',5.5
'gone !   ',4
'love farmville pero nakakapagod din ang mgtnim mghrvest .. hehehe',6
'partey ! ! ! love',6.5
'uhhh ! homework ! killing .',3.5
'thanks much birthday wishes everyone ! !',6.5
'hope get voice back saturday .',5
'perfectly imperfect , beautiful flaws , sure insecurities , absolute chaos .. beautiful disaster',6
'course ! brain washed !',4.5
'school boring early want spring break',4
'miss  hand new spelling lists   lose spelling lists copies bad boys. class  whispers head bobbing     bad boys ',5
'much like peach pie peach cheesecake right . somebody make happen plz .',5
'really wanted chicken brown beans .',5
'common tests vvverrrrrrrr laughing dddddd',7
'almost feeling better ! ! damit hurry already cold ! ! ! drink weekend ! !',6
'examining oral cavity anatomy tomorrow  cutting head half  . bring !',5
'thinking going blonde .. hmm needs bloody job',5
'eating famz ..',5
'thanks birthday wishes . great one .',7
'gon na clean car today .. maybe take trade later week .. maybe',5
'brawl two excuses brother uses loses even trying   got lucky  .  ',4.5
'hrs  go ',5
'think falling love mauritius .. cultural diversity ..',5.5
'thanks birthday messages . pretty bummed closer  . shall try rid thought drinking body weight frozen margeritas .. thats lot margaritas !',5
'looking forward great weather  waves wednesday',6.5
'got nothin  , got nothin  lose .',5.5
'ppl continue complain situations created .. chose manwoman chose children deal consequences',4
'checking salad messages',5
'ca sleep , .',4
' ,   ',5.5
'    whole universe ! happy',5.5
'southern hospitality ! ai nothing like ! except substitutes ! live love !',7
'great .. lol . learned stuff supposed guess would cram right . oh well . always next year .. grade  .',4.5
'hey guys , got bak first day skiin',5
'would love go back bed .',4.5
'gon na stick plans , nothing body gon na keep away thats ! !',6
'got phone set  facebook yay ! nn',6.5
'huge news guys ! ! ! unfreakinbelievable .. twins ! ! ! hell come ? ! friends ! help ! soooool , jeniang ! ! ! help ! ! !',6
'happy july ! see girls tomorrow ! xo',6
'slipknot mood  surprise',5
'watched new harry potter movie tonight . pretty cool , waiting next one frown , sad , angry pouting good news previews showed really awesome movies coming . got green latern , green hornet , tron look friggin awesome .',6.5
'.. happy birthday , adam ! ! ! ha ha ha , fsu  p ..',6.5
'spent day beach  ',6.5
'furnace blink . . . hooray maybe get furnace maintenance christmas .',5
'know make scrambled egg microwave ? bachelor tip   .',5.5
'know ? first post see mlia harry potter . mlia .',5
'.. chase house yard',5
'answer lies within , confusion ? blinded , deaf , ignorant inner voice ?',3.5
'add xbox live !',5
'thank wished happy birthday .. definatly good one jump start year right ! hope everyone bangin  new year god bless',7.5
'omelette sunday success !',6.5
