@relation dataset-bow-arousal-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute text string
@attribute arousal numeric

@data
'know people always telling done wrong live life , know ? cause life shit unfixable , think helping helps . say fuck want want people , life .',3.5
'war eagles lets finish',3.5
'hmm jnr still vomiting guess stop giving water crackers , hope hr thing',2
'life bitter sweet sour like red wine .. hahahahaha',3.5
'thanks everyone birthday wishes ! !',5
'loves making friends battle wits bruises ego . thanks everyone birthday wishes ! ! !  wished happy birthday , .. ',5
'yet acquire taste beer cheeky , playful',2.5
'yay ! finally  ! thanks much everyone wishing happy one !',6
'successfully saved energy afternoon rag ball . quite epic day .',3
'rockband karaoke buffalo wild wings ! come rock gay bar !',5
'sad . sitting coffee shop , planing plan .',2
'monday , yup !',4
'tired .. . hours driving lot one day  travel time , including breaks  lunch  fuel  . nice . weeks ktown , unfortunately got sick bday  least mostly better drive back . may post details later .',2
'lazy ive overcome gravity ! ! !',5
'haha jane mate bawbag deleted ! ! ! ! pmsl hun.xxxxxxxxxx',6.5
'realize much mondays suck . may week end quickly .',1.5
'streak ! ! ! lions win ! ! ! ! ! ! !',8.5
'kids bed , watching tv getting ready bed also',1
'watching anchorman happy',2.5
'broncos superbowl xliv',1.5
'make little hole tank drain dead ? .. cheeky , playful',2.5
'thinking need invent contraceptive laundry baskets since every time turn around reproduced !',4
'got new pic like ?',3
'always remember unique . like everybody else .',1.5
'starting get nervous starting new position .',2.5
'get work get tools !   ',4
'soooo excited movie colored girls',4
'thanks birthday messages , rightg definately feeling year older !',4.5
'soooooooooooooooooo ffffuuuuuccckkin tired cookin got damn day shit nigga get kinda brake good dough lucky love mom',8.5
'need  b class work !',4.5
'customer  want hot fudge sunday',1
'happy monthsarry us . , ',2.5
'going cleaning around house go throught girls clothes , fun today ! ! ! ! ! ! ! ! !',6.5
'hope dance gon na suck time',2
'kick ass dinner hubby nice evening home fire havin fun .. happy',3.5
'tierd jerseyshore shi sad crying hey need bring camaras neck woods reality .',6.5
'true friend care broke , house mess , past , family full crazies .. love ! true friend go long periods time without speaking  never question friendship ! repost blessed enough least one true friend . know',2.5
'birthday would like family  friends  give one memory dad , matter small .',1.5
'choose friend carefully , become introduction ! ! ! ! !',6.5
'raining ? ! ? supposed rain ! sad ..',5.5
'certain things r funny .. tell guy got man dey still try get da digits , dnt give   wan na talk sh  .. please helpme understand ladies  licker go lick cornball ',6.5
'ever thought god would bless wonderful man beautiful daughter gorgous mother wonderful family friends . !',5
'pics updated',1
'small person carries big grudge',1
'behind lies see secrets show',1.5
'body hurts .. mas beer !',4.5
'swear come back life till end time , swear keep right side cause baby one want , swear ! !',6
'wants thank everyone happy birthday wishes ! ! ! ! love guys happy',6
'going dance camp ! , yes ! ! ! ! ! ! graduated mean team get rid happy',7
'goin fishin tomorrow .',1
'gets first degree month ! ! ! getting associates get bachelor like things lol ! ! !',6
'ca wait get hell apt',3.5
'ormond beach , fl waiting get unloaded .',1.5
'says happy birthday ! ! !  .. deep depression sets try come terms mother teenager ..   ',4
'bored ..',2
'dream design guitar amp guitar right',1.5
'issues photos .. finally posted ! post later !',5
'lovely day , lovely woman , breakfast , ..',2
'wait , wait , camera ? ? ? think .. check news ,  degree weather ai goin nowhere ! ! ! phi beta sigma fraternity inc. presents  sleep homelessdoing part demonstration donation ! ! ! shout way ent . hosted successful annual cover city drive ! ! ! remember always thankful ! ! ! let go ! ! ! blue phi day !',8
'chair , problem thats always say ! light houses rule ! .. lol',4.5
'selling  mustang gt nitto  legends !',3.5
'take one step awaythen find coming back youmy one , one onlyi take one step awaythen find coming back youmy one , one onlyyou ..',3.5
'never realised someone could self centred ! could live self lie get sleep night . yes hurt people least learn admit wrong e cheeky , playful ect imeadiatly forgiven .. god damn',3.5
'manu arsenal ..',2
'boreddddddddddd ..',2.5
'sent big toe half way shin bone thanks toe ala crunch via door jamb .. maybe time new glasses ? foot reduction also option happy   ',3
'college closed till semester .. itz cold v hv releived frm gtng  mrng ..',2.5
'awkward moment chilling ms fucking ugly sewer rat pops wo leave skeptical , annoyed , undecided , uneasy hesitant',3
'telling someone full bullshit today never felt good . even nice say , truth felt great unleash .',3
'ya allah .. help us .. crying',6
'yo mamma stupid sat tv watched couch hahaha ! ! heard today ! ! xd offense moms hilarious',6.5
'aargh like apps automatically updates , getting daily tarot , barfing profile time . app removed .',3.5
'wants snow like huge blizzard type thing go sleding',2
'getting ready dinner family . good birthday .',1.5
'frequent facebook word day  mindmap.  ',1
'made ittttt  ',3.5
'wake morning , two simple choices , go back sleep dream , wake chase dreams , choice ! ',4
'thank great times happy helped change life . ill love think forever ! xox',4
'breakfast time !',4.5
'every like soo much breaks heart ? little little break , stop emotions , understand either .. losing .. idk wut w life .. thought knew noe ..',3
'quote week one perfect . every makes mistakes  wise people learn other.  ',2
'love justin bieber ! love',5
'.. yii ..',2
'aww need save  ear  tube job instead boob job ! lol ear hurting lil along throat .. wan na lose voice ! !',6
zzzzzzzzzzzzzzzzzzzzz,1
'bow , break , shut world away . fall , fade , take breath away',3
'bought trumpet .. ! though marines barracks might happy .. laughing wait come ! yay ! perhaps go buy music books ..',4
'stoked best friend comes home tomorrow ! ! ! ! !',7.5
' life got much better past months .. ask .. soo greatful ',2
'yall need shut mouths cause fixing slap shit outta  ..',4.5
'doppelgnger week ! change profile picture someone famous told look like .',3.5
'goes home monday . mountains fun .',1.5
'single looking , jeez , dude get attraction',3
tireeeeeeedddddd,2
'getting teeth pulled bad . waiting feel mouth .',1.5
'anyone feeling like killing .. ? ?',4
'bad night . get home  .. sometimes wish ..',2.5
'pooped ! ! ! ! tomorrow another full day ..',6
'hate phone serious passion wish would blow sometimes .',3.5
'fuck fuck fuck',3.5
'middle pickwick kayak reading book . thanksgiving rulez',3
' super terimakasih untuk semuanya atas doanya  ucapannya . zoom zoom day everyone ! laughing laughing',5
'raging homosexual hacked brandons facebook ',3.5
'internal monday frown , sad , angry pouting',3.5
'received lovely surprise card ! ! happy happieeeeee ! ! cheeky , playful',7
'started facebook .. entirely sure .',2
'tonight . rave . happy ',3.5
'met girl , fell love , glad met girl , fell love , glad think time , true ? nothing world stop worryin bout girl',3
'well , since ca sleep , might well clean house . already awake  hours , seriously , fuck .. maybe becuase birthday , woohoo ..  , tell another day , thats really thinking ..',3.5
'stayin onto somthn , always talkin indefinite numb e cheeky , playful erience stare space thinkng stuff wished ,  gave returns past time nothin .',3
hi,1.5
'everyone wo using cafeworld anymore send gifts please ! ! keep profile case need neighbors happy',4.5
'says likes feeling sexy',2
'addicted facebook games',1.5
'question hard find someone trust believe also believes trust',2.5
'studying cleaning packing long time still',1.5
'last exam tomorrow  math ',1
'king move , subordinates follow',1.5
'totally invites mafia ! get asap .',3.5
'wondering anything interresting tele tonight ? skeptical , annoyed , undecided , uneasy hesitant xxxxxx',3
'thanks friends buat ucapan happy birthdaynya traktirannya nyusul ya ha',2.5
'may better day get move new house sex crazed people buying going get little vist happy',3.5
'could really use miracle right',2.5
'fourth year eggs year  first year teaching year  chem hard work  feel satisfied though .',1.5
'ugh .. second shift schedule ..',2.5
'voice soundtrack summer know unlike ? always thunder , said eyes brightest colors wan na ever love another always thunder bring rain bring thunder',2
'thinks person wait high school show true colors',2.5
'today , tomorrow , friday , saturday , move day ! ! !',5.5
'love confusing .. guy tells gorgeous turns lights , ',3
'working hard giv new family good life',1.5
'ok god turn faucet',2.5
'think last week really changed perspective things .. never go sleep angry ever .. always say love b every departure .. tried angry brother hung phone died ni',3
'struggles past , make stronger future .. ! ! ! !',6
'sure want hear guys might come lol , go ! read',4.5
'mehh . fuck cw . fml .',4
'juss finished cleanin washing ridiculously messy car ! nails turned black hahaha . gon na get ready go eat buddy happy',4.5
'ready spring . cold weather dark evenings kept rusting house . ca wait canoeing , fishing , camping , outdoor sports ..',3
'transit dubai ..  hours home ! ! ! ! thanks well wishers ! surprise ',6.5
' today',1
'profile pic rocks',1
'everybody sing ! ! ! ! ! ! ! ! ! !',7.5
'exausted .. people , dogs , crabby cat , kid needs spare set keys .. need vacation !',4
'dear god , find someone hard poop shoot',3
' happy',2.5
'tear cry ever split . love',2.5
'fckin bored frown , sad , angry pouting frown , sad , angry pouting',3
'fb running slow today ? ? ?',4.5
'yeah , friday ! well anyway . happy',4.5
'ashamed enjoying conan barbarian comic books ? cheesy top sword sorcery yet much fun.  ',2
'birthday sucked ! ! !',6.5
'babysitting .. laughs',2.5
'last minute packing !',4.5
'relaxing home .. maybe wine !',4
'thank everyone birthday wishes happy',3.5
'whenever face difficulties , confident level increasing responsibilities growing ! !',5
'mean brag , make mean raspberry lemonade .',2
'bombed math final  c  write sad face emote . frown , sad , angry pouting',2
'ffxiii full love . love',2
'happy independence day ..',2.5
'best birthday everrrr .   could happier . braces tomorrow . week great .',3.5
'slightly annoyed people keep hitting oddshaped pillows .',3
'really hate screwing somedays darn good frown , sad , angry pouting',3
'thoughts maketh world .',1
'yay presentation day got ta morrow dat suxs bad',1.5
'today ignorelan cheeky , playful nothing . best day .',2.5
'tired writing paper paper . makes wonder masters program .',2.5
'new tiesto album really good !',5.5
'one dies virgin coz lyf badly fukssss frown , sad , angry pouting kiss',4
'thanks everyone wished happy birthday . wills plays mys guitars extras fast .',2.5
'reading howls moving castle ! ! must get family watch movie one day !',6
'know , getting worse , come barnes nobles seems like peep show everytime come . really sick stuff shelves . mixture vampires , nudity , witchcraft .. sheesh .',4
'thanks everyone birthday wishes ! thanks good time !',5.5
'american classmate learning tagalog told taxi driver , manong , pwede kant  ?  wanted say driver drop corner ',1.5
'wait enough see son home ..',3
'watching  days summer ..',2
'little sister sitting ball rocking back forth ..',2
'also , appreciate universe complimenting taste collaborators , one ex leaves directly starts dating someone show , think going lose . two row !',4
'know best friend baby anxious since morning wait longer baby port ! !',5.5
'looking bassist , drummer possibly guitarist band , anyone want ? laughing',4
'goin house hunting today .',1
'use blood lubricant rape lifeless body',1.5
'thanks everyone birthday wishes whatever call  ',3.5
'jonsi concert october . excited long time .',3.5
'back war two weeks frown , sad , angry pouting',3
'turn take ? god knows right one , pray hear clearly make right one . friends family pray boy .',5
'wonderful husband , fianc bf works hard provide would anything family , repost status give honest well behaved men recognition deserve . great men far , one !',3.5
'afraid act upon dreams know dreams keys success doorway greatness ..',3
'confided someone tears happiness lmao ! one happiest moments happy life ! tears happiness',4.5
'whoo finally got meet leah .. adorable !',5.5
'think ill hibenate winty ..',1.5
'straight face happy laughing',4
'england !',6
'one whoz going light day ! ! ! ! ! ! ! ! ! ! ! !',9
'finally , home last !',5.5
'another beautiful day thanks god snow .. cool never season',3
'thank guys , appreciate happy birthdays  ',2
'birthday saturday great ! finally  ! !',6.5
'monday na ulit work work na ulit .. may god give strength love',2.5
..,2
'thanks every one wished happy birthday appreciate love . feel old  hahahah jkjk whatever lol . well ill talk soon love guys much thanks',2.5
'among us blessed power save loved another . powerless use blessing love .',3
'brought real coffee nearly one every slice coffee shop today ! ! yum yum yum  yum yum !  share',5.5
'bored ..',2
'gargoyle landed',1.5
'.. thank guys .. ..',2.5
'still need help horse stable ! ! need  nail  horseshoes . thanks ! ! !',6
'facebook friends  help ! ! lack funny emails , add email list please ! !',6.5
'football v.s . moniteau tommorow',1
'love ! thanks making best birthday ever guys special thanks baby crystal making possible . wan na toast best friends family person could ask ! love , good night !',8
'incredibly tired excited cause get go home soon ! ! ! granted , two weeks cares !',6.5
'one wished happy birthday , thank kind coments fond wishes .',1.5
'idaho chillin fam weekend . love ya !  ninja material ! .. even duck things takes extra second squezz small places cheeky , playful',5
'hmmm .. happy',3
'happy someone , although hearts crying loud . told meself happen sooner later . stupid f    .. followed heart ! get ignoring truth . say truth set free. say also beat heck yo  ass . happy .. hurting . still .. still . ! tnx  ',5.5
'least  dead israeli forces attack gaza aid ahips ! ! ! ! ! ! ! hhhhhhate israil',8
'livin life',1.5
'heart get lucky sometimes love',2.5
'scooby doo would better show guns',1.5
'birthday finally  !',7.5
'hi everybody ! saying hi , real quick . bye !',4.5
'life one big party still young gon na back done .. shaggy',2.5
'counting days .. second second ..',2
'back semenyih ! !',6
'thanks everyone friendship birthday wishes !',4.5
' finally ! ! ! ! lol',7
'garden planting new seeds .. sad see old ones die .. beauties new growth overwelm saddness .. time depend',3
'dam ganna go back school',2.5
'watchin ferd dance lol luuuvvvvvv show',3.5
'thanks everybody ! ! ! ! ! ! ! ! ! ! ! !',6.5
'got family pics done today got wife new phone took droid good day today',1.5
'back class ..',2
'really digging devin moore   .. bein productive nite colts .. wonder real game',2
'subway w bff  person . love  .. oh  unfortuantely .',2.5
'believes god , repost believe . please ignore , tested . says bible , deny front everyone',3
'christmas tree time',3
'thanks bday wishes .. great day fabulous dinner .',2.5
'guess people . bed .. wo moving till monday',2.5
'hmmmmm ..',1.5
'call nestle crunch hotline , asked want continue english spanish , wait quietly  seconds smile . promise ! keep going press . listen options .. press . give away comment !',3
'sick dodgers  crap . get hopes every year ? garbage . manny garbage . pitching garbage . fun watch two months .',3
'happy camp . thanks birthday wishes ! ! !',6
'happy grandparents day best ama ampa ! love',4.5
'two days till strike work . ready .',2
'absolutely hating homework fact left everything last minute .. nice vacations though',3
'gettin tattoo today excited happy',4.5
'moving forest lake ! ! yeah',6.5
'crap , totally forgotten ta coordinate geog tmr first period ..',3
'thinkin bout everything',1.5
'finally got job ! ! woohoo ! happy happy',7
'asked pervert whether ugly , virgin , singaporean really fourteen years old . would like announce saw auditionsea  anywhere , actually  , would kick butt . joking .',3.5
'rude tube !',5
'tonight improv .',1
'well , hospital . poor baby two spinal taps . still know whats wrong ..',2.5
'asking .. keep secret never say ?',2.5
'something mind ..',2.5
'playin  battlefield bad company  .. awesome game',2.5
'thanks everbody wished happy birthday today !   lucky enough avoid ms. fry impromptu song cheeky , playful',5
'work f.b . see later .',1.5
'realized midnight day , ..',1.5
'wow friday .. hope everone good weekend .. safe .. happy',3
'gym time .. need fix mohawk .. hair sides getting little long .. find electric razor .',2
'ughh , crazy .. need starbucks .. stat !',5
'broncos getting raped . raiders ?',3
' hours work friday .. love tomarrow hahaa',3
'smile wan na go play !',5.5
'slowly going loony',1.5
'wants thank everyone wished happy bday .. ones txtd .. ones even thought today .. love ya !',4
'family wax dayy',1.5
'ive finally realized babies  monster  mom someone even want around become stranger beginning hate',2
'hello laughing',4
'birthdayyy ! ! love',7.5
'life better bein  pirate .',1.5
'bottomless pit ! ca spend rest americas money fast enough ! even knowing broke . ?',4.5
'tired .',1.5
'prayer alert ! ! fb friend daughter audrin king . hold family prayer today .  year old daughter diagnosed stage  cancer . see post , even know , god knows .. please post profile  hour say prayer little girl god bless !  could mom repost ?  pray , please ! ! ! !',6.5
'thanks remembering birthday !  ',5.5
'hangover ! ! ! ! ! !',7.5
'thinking plans sunday ..',2
'know  perfect  close scares .. happy',2.5
'check vid happy',1.5
'thanks everone wishing happy bday . well going go weekend let lose . bad day work',2.5
'sisters keeper .',1
'make understand mean anything .',1.5
'two may talk together roof many years , yet never really meet  two others first speech old friends',1.5
'time new scientist chips b head manc think',1.5
'already tired . quite strenuous day',2.5
'really great summer far ive beach week feels good sitting computer ! ! ! ! ! ! thank goooooodddddd . would phones computers ? ? ? ? would home sitting . cou',8
'getting ready day boys ! astro boy pizza happy',5
'e cheeky , playful eriencing moment read pages idea read . frown , sad , angry pouting',2
'raiders extend richard seymour yrsmil ! franchise zach miller ! yes ! ! ! ! ! ! ! ! ! ! resign nnamdi ! ! ! ! ! ! !',8.5
'talking zac efron banana phone last  minutes . fighting .. . tool . miss days imaginary boyfriend ping mulan .',1.5
'hey guys remember sunday basket well back croisee form   japs  ! ! !   ',6.5
'stupid computer still fixed . text  hopefully working weekend .',1.5
' home .. chillin .. needed come home ..',2.5
'predators .',3
'fire brimstone baby , lets go outside , whatcha know bout ways underside .. ? ? ? love',3.5
'know love , ..',2.5
'mexican food good . mmm , chimichanga .',2
'modern warfare  , soon !',5
'fun time corn maze tonight , glad spent sat . night time .',1.5
'getting sick e cheeky , playful laining hair , summer , fear driving . bright side , love life prodded two hours',3
'good night , hate , especially .',3.5
'confront dark parts , work banish illumination forgiveness . willingness wrestle demons cause angels sing . use pain fuel , reminder strength .',1.5
'remember vote . ',2
'lord conquer enemies attack . attack one direction , scatter seven ! deuteronomy ',2.5
'trying best finish book send publisher . wish luck .',1.5
'mi wrd ! ! ! ! sooooo tired jobshadowin ! da kfm studio kickass ! luv da grafitti wall',6
'every obsticle making possible possible even winning ilogical losers still far optional',1.5
'thanks everyone birthday wishes',2
', specify , alone . travel . absorbed self pity , forgot mention thrilled either . , luggage found , way going take nice long bath drown sorrows ! ooh good smelling shampoo stuff ! psyched !',5
'firstlove published .. ! pki abangan b surprised ksie web .. hope like !',4.5
'great day today . found raise took effect fridays paycheck . check pool   . great cake class made wonderful cake . think getting hang new job work . shabby ! oh josh burning wood dring beer friday night , said whoever wants stop welcome bring drinkage let know need directions !',4
'glad week ! ca wait till sunday !',5.5
'love law ! ! !',8.5
'ran bunch . fun',2
'rest peace grannie , forever loved missed .',1.5
'washing machine laughing ? taking piss underpants .',2
'enjoyed cwg opening ceremony  colourful diverse . mercifully showcasing india culture without bollywood !',4.5
'like hips',1
'presence friend coversation  ',1
'  teens would cry saw robert patterson  edward cullen twilight  standing top sky scraper jump . one   would sit ',2
'god man would lie . words must come pass lifes . well halleluya ! ! !',8.5
'mention much hate homework home',2.5
'hawkey team ! ! ! anyone want watch game , please contact .i join ! ! !',6.5
'mmmm cinnabon cereal ! ! !',6.5
'going house  c boy striped pajamas . coming !',4.5
'little worried big bear keep trying call able reach . currently tracking weather worried mind .',4
' cent beer happy hour gyukaku shit ,',3.5
'wish would show cheerleaders plays ..',2.5
'burnt rice . sipsie liked though !',3.5
'ah love steve nash !',4.5
'hope girl time ! ! ! !',7
'angle god , guardian dear , god love commits , ever day side , light guard , rule guide . amen .',1
'getting painful e cheeky , playful erience much like crossiiing monkey bars . let go point order move forward. happy  taraaaaayyy !   ',6
'sure like facebook',1.5
'go run beautiful day working tiny babies tonight happy',2
'okay , dog bugging . must bored hell playing fetch wit shitty diaper . lmao happened stick ? !',5.5
'greek food today , great',1.5
'watching husband zoom pass window small pink quad bike',2
'actually getting engineering ..',1
'hey got accepted edinboro .. awwssoommee ! ! ! ! excited',7
'excited get away weekend , , , .',2.5
'annoyed stupid neighbors practicing piano   oclock ! ! ! go  sleep freaks !',6
'band put demos songs really exited . ony thing guitar like  hours school  hours hw get go work yay !',5
'damn sad cows wo go away ! ! !',7
'nondairy creamer flammable .',1
'game  clock tommorow  brothers game frown , sad , angry pouting',2.5
'starting get obsessed heavy metal concerts .',1.5
'blast flirty girl fitness !',5
'decided new friend . think wants kill ! !',6
'well yay stupid  broke internet skeptical , annoyed , undecided , uneasy hesitant',3
'knows done well terrify people husband page .. sleep well tonight happy',3
'thankful birthday love .  pretty good . agreat bday !',4.5
'well , today pretty crappy day school . shared laughs best friend . laughing',3.5
'wondering  movies hire watch first . new daughter  thriller   kevin costner . crazy heart  drama   jeff bridges  maggie gyllenhaal . bounty hunter  action   jennifer aniston  gerard butler . cirque du freak  vamipire assistant  family   willem dafoe  salma hayek',1
'done everyones games ! ! ! ! ! ! ! !',9
'feel invisibe . ugh fml !',5.5
'usual day night',1.5
'great day family today !',4.5
'rain  rainbow .',1
'christ bike .. cold go away ? ! ? !',6.5
'addicted dragon age .',1
'july, .. gayism legalised hc .. intended  b bday present frm hc .. gosh .. took sooo long  realize dis .. cheeky , playful',3
'omg , singing along taylor swift . wrong ? ! ? !',7.5
'college night tonight  cabanas ! !   kamikazes   well ! ! plus live performances schofield ! ! let get crazy ! !',7
'e cheeky , playful erience simply name give mistakes .',1.5
'wishes going north carolina gorgeous sisters .',1.5
'tengen toppa gurren lagann .. make day better',1.5
'klbj radio austin took time busy schedule try help find donor using facebook radio . think thats bad ass . thanks much , .',3
'lonely september',1
'fun ..',2
'best consideration child . couple seperated , heshe would saddened fathermother might around much needed . bad child . times miscarriages reported , couples married . bad , god purpose life , could way telling reconsider choices .',2.5
'haha , sure gunna great year ! gunna funn ! ! ! !',7.5
'hate getting stomach flu would rather severe cold week',1.5
thank,1
'ooo ! ooo ! ooo ! ooo ! come !',7
'thanks everyone comments great day today , even though go work lol',3
'hates lakers . hates .',2.5
'full glass empty heart , search something occupy mind',1.5
'tupac might gone bah always alive everyone der feelins fa g ! rest case , say still remains true soldier der da ghetto heaven',3
'boring life back frown , sad , angry pouting ..',2.5
'ok big mi . one week since smoked cig . happy . plus walked  miles today . got ta walk  tonite',3
'okey dokey , time scan newspaper mine ..',2
'sometimes people put walls',1
'happy thanksgiving fb friends family !',5
'course evaluations medsoc came question instructor maintained positive environment class  nice timing video  ',1.5
'nevr criticize bf faults , rembr may hv litle imperfections dat stoped frm geting beter gf ..',1.5
'wan na curl ball sleep hope wake ill magically feel hundred percent',1.5
'flying back bangkok shoot ..',1
'happy haha thank youss',3.5
'merry christmas ! ! !',6
'loves favorite roomy',1.5
'broke leg , oops wo want ! ! ! ! ! ! ! ! ! !',8.5
'anyone know secret happiness peace ? sure hell .',2.5
'beautiful tuesday morning .. duty .. weeee laughing',4
'facebook trick  press , , , , left , right , left , right , b , , enter key , left click magic crcles appear . way get rid log refresh page .. work ! put status works .   freaked bad . surprise',4.5
'severe anger',2.5
'bed time nite world',1
'got laid need find work , new year',6.5
'thanx everyone , rite , ,',1.5
'thanks happy birthdays ! ! ! ! ! ! ! ! ! happy',8
'go wv !',5.5
'kind tutorial facebook ? , someone please send grandma ? needs little extra help .  kidding , gmachris keep helping . ',3
'ever learn something really wish , nvm',3
'.you think people people people look think like .',2.5
'sick ! ! ! ! hate ! ! ! ! !',8.5
'thanks birthday wishes yall ! ! .. srry alil late thank !',6.5
'bmx starts next week .',1
'finally friday ! ! ! ! ! ! !',7.5
'want snow birthday gift today .. wanted pony ..',6
'kind bees make milk ..',1.5
'homework sux ! ! ! ! teachers tourcher us way ? ! ? ! ? ! ? ! ? ! ? !',8.5
'god things possible .. yet greatest treasure .. turn away .. turn away gods love .. say purpose god accomplish .. turn away savior .. make like good .. peaceful .. world hated hate us christains .. speak self calls name',2.5
'need job ! ! ! ! anyone know anything ?',7
'happy birthday taylor . love .',1.5
'zzz .. soooooo tired ..  camps  week .. think need workout liao ..',3
'really need house cleaner disaster ! ! ! ! ! ! ! ! !',8
'falling asleep country music love good night !',4
selfish,1
'night see combichrist . fuck loved show . absolutely need pass , long work week  six hour concert  tired shit',5.5
'manu sailing smoothly happy',3
'hot , scared , lil sweaty . good day .',1.5
'saturdaywork , mani pedi , long bike ride   , bday pary  , bday party . much fun . sundaylaundry , cleaning , colts game , bike ride . fun busy weekend .',1.5
'stronger hard times , wiser mistakes , happier sad e cheeky , playful eriences , smarter moments confusion',1.5
'happy sad time .. di kaya nababaliw na ko ? ',2.5
'hate want nothing someone keep coming back matter ? drives crazy ! ! ever get hint .',6
'hi everyone nothing say say hi everyone',2
'wondering ever get job .. seriously .',2
'got soul sleep ! laughing   ',4.5
'tired saying look like asian lol ',4
'got home , fun time running today',1.5
'success without positive attitude called luck , success positive attitude called achievement need positive attitude .',2
'died today , would taking care arrangements would paying .. mind . due new profession , currently welcoming death jokes  okay , maybe , would rather',1.5
'bored many going start science project',1
'great time wedding ! yankees  , big game tonight nervous hell ! wan na spank damn rally monkey tonight !',5.5
'ca wait thanksgiving also see daughter thinks lights decorations christmas ! ! also  months old ! !',6
'sigh ..',1.5
'drunk lmao laughing happy almost paddy day cali .. like  minutes till cheeky , playful',4
'.. chocolate peanutbutter ice cream , yes please ! ! ..',5
'man long time since posted sum hear happy got two mo weeks welcum baby gurl dis world ready spongebob voice lol',2.5
'begin recognition beings cherish happiness want suffering . becomes morally wrong pragmatically unwise pursue one happiness oblivious feelings aspirations others surround us members human family . wiser course think others pursuing happiness .',1.5
'yeah happy totally . tired lonely .. tired',2.5
'cooked heat',2
'finally .  long days',2.5
'wow , . thank everyone happy bday congrates .   ',2.5
'love music video ! ! !',6.5
'work today , lucky happy',1.5
'going play football little bit !',2.5
'bama going kick ass',3
'today anniversary james proposing beach near san diego .. happy happy asked ! ! love',5
'make heart skip beats , make nervous see , make feel alive , still get butterflies kiss love . love happy',2.5
'day  menu  sausage , egg cheese biscuit , lunch  bacon cheese burger , snack  hashbrowns cheese .. day  idk ! starting get bubble guts .. stomach strange stuff .. lol',3
sleepy,1
'saw chinese dude get metro chinese food hand .. go make delivery lmao .. hurry dwl',2
'loving simple , letting someone else love hard .',1.5
' final ,  go !',4.5
' days indiana happy',2
'back home , back reality ..',1.5
'fine thin line wrong right .',1.5
'happy thanksgiving',1.5
'issuse lmao',2.5
remind,1
'smells delicious outside .. like breakfast ..',1.5
'md sis .. big cockatoo hand .. typing .. great day cousin .. wish never go back work .. dreams .. dreams .. oh got .. yippe !',4
'drama .. drama .. drama .. done !',5.5
'ughhh , wish could stop coughing already ! sick horrribllleee . watch television falll asleeepp . happy love',3.5
'ind vs srilanka  thrilling match progress .. india need  ..  wickets hand ..',2.5
'needs lobotomy !',5
'gps less day already broke . good thing garmin nice going send brand new one .',1.5
'ever feel like lot people life understand ?',2
'forgotten much fun kids  especially pe ! exhausted ! !',6
done,4.5
'laugh fuck upset first place even shocked wow happy happy today ordinary day',3
'sons week ! beautiful son sons love describe , copy paste status little , hold heart lifetime',4
'today boring day entire summer hands . skeptical , annoyed , undecided , uneasy hesitant',3
hi,1
homework,1
'case mondays .  toooo fin early .',3
'happy happy happy ! ! ! !',7
'time go shovel snow .',1.5
', hrs still ca sleep frown , sad , angry pouting insomnia sucks .',2.5
'wow afc sucks probowl sucks year',5
'fun india !',4.5
'relationships like glass . sometimes better leave broken try hurt putting back together .. happy',2.5
'gone !   ',4.5
'love farmville pero nakakapagod din ang mgtnim mghrvest .. hehehe',2.5
'partey ! ! ! love',6.5
'uhhh ! homework ! killing .',5
'thanks much birthday wishes everyone ! !',5.5
'hope get voice back saturday .',1.5
'perfectly imperfect , beautiful flaws , sure insecurities , absolute chaos .. beautiful disaster',2.5
'course ! brain washed !',5
'school boring early want spring break',1.5
'miss  hand new spelling lists   lose spelling lists copies bad boys. class  whispers head bobbing     bad boys ',1.5
'much like peach pie peach cheesecake right . somebody make happen plz .',1.5
'really wanted chicken brown beans .',1.5
'common tests vvverrrrrrrr laughing dddddd',5.5
'almost feeling better ! ! damit hurry already cold ! ! ! drink weekend ! !',6
'examining oral cavity anatomy tomorrow  cutting head half  . bring !',4
'thinking going blonde .. hmm needs bloody job',2
'eating famz ..',1.5
'thanks birthday wishes . great one .',1.5
'gon na clean car today .. maybe take trade later week .. maybe',1
'brawl two excuses brother uses loses even trying   got lucky  .  ',1.5
'hrs  go ',1
'think falling love mauritius .. cultural diversity ..',2
'thanks birthday messages . pretty bummed closer  . shall try rid thought drinking body weight frozen margeritas .. thats lot margaritas !',4
'looking forward great weather  waves wednesday',1.5
'got nothin  , got nothin  lose .',1.5
'ppl continue complain situations created .. chose manwoman chose children deal consequences',2.5
'checking salad messages',1
'ca sleep , .',1
' ,   ',2.5
'    whole universe ! happy',4.5
'southern hospitality ! ai nothing like ! except substitutes ! live love !',8.5
'great .. lol . learned stuff supposed guess would cram right . oh well . always next year .. grade  .',3
'hey guys , got bak first day skiin',2
'would love go back bed .',1
'gon na stick plans , nothing body gon na keep away thats ! !',5.5
'got phone set  facebook yay ! nn',4.5
'huge news guys ! ! ! unfreakinbelievable .. twins ! ! ! hell come ? ! friends ! help ! soooool , jeniang ! ! ! help ! ! !',8
'happy july ! see girls tomorrow ! xo',5.5
'slipknot mood  surprise',3
'watched new harry potter movie tonight . pretty cool , waiting next one frown , sad , angry pouting good news previews showed really awesome movies coming . got green latern , green hornet , tron look friggin awesome .',3
'.. happy birthday , adam ! ! ! ha ha ha , fsu  p ..',7.5
